ID (id),Name (nm),Type (Base),Type (de),Type (es),Type (fr),Type (id),Type (it),Type (ja),Type (ko),Type (pt),Type (ru),Type (th),Type (vi),Type (zh-Hans),Type (zh-Hant),Spirit (Base),Spirit (de),Spirit (es),Spirit (fr),Spirit (id),Spirit (it),Spirit (ja),Spirit (ko),Spirit (pt),Spirit (ru),Spirit (th),Spirit (vi),Spirit (zh-Hans),Spirit (zh-Hant),Cost (cst),Currency (Base),Currency (de),Currency (es),Currency (fr),Currency (id),Currency (it),Currency (ja),Currency (ko),Currency (pt),Currency (ru),Currency (th),Currency (vi),Currency (zh-Hans),Currency (zh-Hant),Dependency ID (dep),Tree Tier (tt),Tree Order (to),Event (Base),Event (de),Event (es),Event (fr),Event (id),Event (it),Event (ja),Event (ko),Event (pt),Event (ru),Event (th),Event (vi),Event (zh-Hans),Event (zh-Hant),Acquisition (ta)
3401201437,emote_upgrade_come_01,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,0,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,0,,,,,,,,,,,,,,,,,spirit_unlock
3350868580,emote_upgrade_come_02,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,1,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,3401201437,2,,,,,,,,,,,,,,,,spirit_unlock
2420615624,lootbox_common_21,Blessing,Segen,Bendición,Bénédiction,Berkah,Benedizione,祝福,축복,Bênção,Благословение,พร,Chúc phúc,祝福,祝福,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,1,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,3401201437,2,2,,,,,,,,,,,,,,,spirit_unlock
2784461785,CharSkyKid_Hair_BraidSide,Outfit,outfit,Traje,Tenue,Pakaian,Costume,ドレスアップ,의상,Traje,Наряд,ชุดเสื้อผ้า,Trang phục,服饰,服飾,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,0,Heart,Herz,Corazón,Cœur,Hati,Cuore,ハート,하트,Coração,Сердце,หัวใจ,Trái Tim,爱心,愛心,3401201437,3,1,,,,,,,,,,,,,,,spirit_unlock
439245588,heart_come,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,3,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,2420615624,2,1,,,,,,,,,,,,,,,spirit_unlock
3363570499,tier_unlock_come_01,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,1,Ascended Candle,Aufgestiegene Kerze,Vela elevada,Bougie élevée,Lilin Kenaikan,Candela di ascensione,星のキャンドル,하늘양초,Vela Ascendida,Вознесенная свеча,เทียนจุติ,Nến Thăng Hoa,升华蜡烛,昇華燭,2420615624,4,1,,,,,,,,,,,,,,,spirit_unlock
3367646199,emote_upgrade_come_03,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,2,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,3363570499,3,,,,,,,,,,,,,,,,spirit_unlock
3317313342,emote_upgrade_come_04,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,2,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,3367646199,4,,,,,,,,,,,,,,,,spirit_unlock
2857651808,lootbox_rare_02,Blessing,Segen,Bendición,Bénédiction,Berkah,Benedizione,祝福,축복,Bênção,Благословение,พร,Chúc phúc,祝福,祝福,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,5,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,3367646199,3,2,,,,,,,,,,,,,,,spirit_unlock
4145832489,CharSkyKid_Body_LongMonkPants,Outfit,outfit,Traje,Tenue,Pakaian,Costume,ドレスアップ,의상,Traje,Наряд,ชุดเสื้อผ้า,Trang phục,服饰,服飾,Ushering Stargazer,Geleitende Sternguckerin,Soñadora escolta,Guide astronome,Pengamat Bintang Pengantar,Osservatrice guida,先導する星読み,안내하는 별지기,Astrólogo Convidativo,Манящая мечтательница,ผู้ดูดาวนำทาง,Nhà Thiên Văn Dẫn Đường,引路望星客,引路望星客,4,Heart,Herz,Corazón,Cœur,Hati,Cuore,ハート,하트,Coração,Сердце,หัวใจ,Trái Tim,爱心,愛心,3367646199,2,3,,,,,,,,,,,,,,,spirit_unlock
3739362043,emote_upgrade_nothanks_01,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,0,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,0,,,,,,,,,,,,,,,,,spirit_unlock
3756139662,emote_upgrade_nothanks_02,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,1,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,3739362043,2,,,,,,,,,,,,,,,,spirit_unlock
2454170862,lootbox_common_23,Blessing,Segen,Bendición,Bénédiction,Berkah,Benedizione,祝福,축복,Bênção,Благословение,พร,Chúc phúc,祝福,祝福,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,1,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,3739362043,2,2,,,,,,,,,,,,,,,spirit_unlock
589320403,CharSkyKid_Hair_TopOneSideS,Outfit,outfit,Traje,Tenue,Pakaian,Costume,ドレスアップ,의상,Traje,Наряд,ชุดเสื้อผ้า,Trang phục,服饰,服飾,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,1,Heart,Herz,Corazón,Cœur,Hati,Cuore,ハート,하트,Coração,Сердце,หัวใจ,Trái Tim,爱心,愛心,2454170862,3,1,,,,,,,,,,,,,,,spirit_unlock
2325282685,tier_unlock_nothanks_01,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,1,Ascended Candle,Aufgestiegene Kerze,Vela elevada,Bougie élevée,Lilin Kenaikan,Candela di ascensione,星のキャンドル,하늘양초,Vela Ascendida,Вознесенная свеча,เทียนจุติ,Nến Thăng Hoa,升华蜡烛,昇華燭,2454170862,3,3,,,,,,,,,,,,,,,spirit_unlock
1618780074,heart_nothanks,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,3,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,2454170862,2,3,,,,,,,,,,,,,,,spirit_unlock
3772917281,emote_upgrade_nothanks_03,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,2,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,2325282685,3,,,,,,,,,,,,,,,,spirit_unlock
3789694900,emote_upgrade_nothanks_04,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,2,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,3772917281,4,,,,,,,,,,,,,,,,spirit_unlock
2874429427,lootbox_rare_03,Blessing,Segen,Bendición,Bénédiction,Berkah,Benedizione,祝福,축복,Bênção,Благословение,พร,Chúc phúc,祝福,祝福,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,5,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,3772917281,3,2,,,,,,,,,,,,,,,spirit_unlock
1600525874,CharSkyKid_Mask_ElderDawn,Outfit,outfit,Traje,Tenue,Pakaian,Costume,ドレスアップ,의상,Traje,Наряд,ชุดเสื้อผ้า,Trang phục,服饰,服飾,Rejecting Voyager,Ablehnender Reisender,Viajero que rechaza,Voyageur refusant,Pengembara Menolak,Viaggiatore respingente,固辞する航行者,거부하는 여행자,Viajante em negação,Отказывающийся скиталец,นักเดินทางจอมปฏิเสธ,Hành Giả Từ Chối,回绝行者,回絕行者,3,Heart,Herz,Corazón,Cœur,Hati,Cuore,ハート,하트,Coração,Сердце,หัวใจ,Trái Tim,爱心,愛心,3772917281,2,3,,,,,,,,,,,,,,,spirit_unlock
2676581462,emote_upgrade_butterfly_01,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Butterfly Charmer,Schmetterlingszähmer,Encantador de mariposas,Charmeur de papillon,Perayu Kupu-kupu,Custode di farfalle,蝶々使い,나비 조련사,Encantador de borboletas,Заклинатель бабочек,ผู้ดึงดูดผีเสื้อ,Người Dụ Bướm,引蝶人,引蝶人,0,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,0,,,,,,,,,,,,,,,,,spirit_unlock
2659803843,emote_upgrade_butterfly_02,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Butterfly Charmer,Schmetterlingszähmer,Encantador de mariposas,Charmeur de papillon,Perayu Kupu-kupu,Custode di farfalle,蝶々使い,나비 조련사,Encantador de borboletas,Заклинатель бабочек,ผู้ดึงดูดผีเสื้อ,Người Dụ Bướm,引蝶人,引蝶人,1,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,2676581462,2,,,,,,,,,,,,,,,,spirit_unlock
2286247577,lootbox_common_35,Blessing,Segen,Bendición,Bénédiction,Berkah,Benedizione,祝福,축복,Bênção,Благословение,พร,Chúc phúc,祝福,祝福,Butterfly Charmer,Schmetterlingszähmer,Encantador de mariposas,Charmeur de papillon,Perayu Kupu-kupu,Custode di farfalle,蝶々使い,나비 조련사,Encantador de borboletas,Заклинатель бабочек,ผู้ดึงดูดผีเสื้อ,Người Dụ Bướm,引蝶人,引蝶人,1,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,2676581462,2,3,,,,,,,,,,,,,,,spirit_unlock
4290017146,CharSkyKid_Wing_ClassicOne_Yellow,Outfit,outfit,Traje,Tenue,Pakaian,Costume,ドレスアップ,의상,Traje,Наряд,ชุดเสื้อผ้า,Trang phục,服饰,服飾,Butterfly Charmer,Schmetterlingszähmer,Encantador de mariposas,Charmeur de papillon,Perayu Kupu-kupu,Custode di farfalle,蝶々使い,나비 조련사,Encantador de borboletas,Заклинатель бабочек,ผู้ดึงดูดผีเสื้อ,Người Dụ Bướm,引蝶人,引蝶人,3,Heart,Herz,Corazón,Cœur,Hati,Cuore,ハート,하트,Coração,Сердце,หัวใจ,Trái Tim,爱心,愛心,2286247577,2,1,,,,,,,,,,,,,,,spirit_unlock
1295553260,tier_unlock_butterfly_01,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,Butterfly Charmer,Schmetterlingszähmer,Encantador de mariposas,Charmeur de papillon,Perayu Kupu-kupu,Custode di farfalle,蝶々使い,나비 조련사,Encantador de borboletas,Заклинатель бабочек,ผู้ดึงดูดผีเสื้อ,Người Dụ Bướm,引蝶人,引蝶人,1,Ascended Candle,Aufgestiegene Kerze,Vela elevada,Bougie élevée,Lilin Kenaikan,Candela di ascensione,星のキャンドル,하늘양초,Vela Ascendida,Вознесенная свеча,เทียนจุติ,Nến Thăng Hoa,升华蜡烛,昇華燭,2286247577,3,3,,,,,,,,,,,,,,,spirit_unlock
772047895,heart_butterfly,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,Butterfly Charmer,Schmetterlingszähmer,Encantador de mariposas,Charmeur de papillon,Perayu Kupu-kupu,Custode di farfalle,蝶々使い,나비 조련사,Encantador de borboletas,Заклинатель бабочек,ผู้ดึงดูดผีเสื้อ,Người Dụ Bướm,引蝶人,引蝶人,3,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,2286247577,2,4,,,,,,,,,,,,,,,spirit_unlock
